"","start_p10","bathroom_mean_rating","bathroom_min_rating","bathroom_max_rating","kitchen_mean_rating","kitchen_min_rating","kitchen_max_rating","floor_mean_rating","floor_min_rating","floor_max_rating","exterior_mean_rating","exterior_in_rating","exterior_max_rating","floor_nicholas","bathroom_nicholas","kitchen_nicholas","exterior_nicholas","overall_nicholas","floor_miguel","bathroom_miguel","kitchen_miguel","exterior_miguel","overall_miguel"
"808","43066481",11.6666666666667,10,15,31.6666666666667,20,40,22.5,15,30,50,35,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"809","43066859",15,15,15,15,15,15,NA,NA,NA,40,40,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"810","43069093",20,20,20,40,40,40,10,10,10,40,40,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"811","43070425",17,10,20,33.75,20,40,65,65,65,32.5,30,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"812","43070884",NA,NA,NA,40,40,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"813","43073733",23.3333333333333,15,40,36.6666666666667,35,40,28.3333333333333,20,35,35,35,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"814","43075851",22.5,15,30,40,40,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"815","43078979",40,15,65,53.3333333333333,35,65,29,20,38,40,40,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"816","43083979",48.3333333333333,40,65,28.3333333333333,15,35,13.3333333333333,10,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"817","43085567",45,35,65,31.6666666666667,30,35,65,65,65,35,30,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"818","43085637",15,15,15,20,20,20,NA,NA,NA,35,35,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"819","43097896",40,20,65,53.3333333333333,30,65,35,35,35,63.3333333333333,60,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
